Month,WageIndex
1989-01,100.0
1989-02,100.6
1989-03,101.3
1989-04,102.6
1989-05,105.7
1989-06,106.3
1989-07,106.8
1989-08,107.0
1989-09,110.1
1989-10,110.3
1989-11,112.7
1989-12,112.7
1990-01,113.3
1990-02,114.7
1990-03,114.7
1990-04,114.7
1990-05,115.0
1990-06,116.6
1990-07,116.9
1990-08,116.9
1990-09,116.6
1990-10,116.9
1990-11,117.0
1990-12,120.1
1991-01,120.2
1991-02,120.3
1991-03,123.7
1991-04,123.7
1991-05,123.7
1991-06,127.0
1991-07,129.2
1991-08,129.2
1991-09,129.3
1991-10,127.8
1991-11,127.8
1991-12,127.8
1992-01,127.8
1992-02,127.8
1992-03,128.1
1992-04,128.1
1992-05,130.0
1992-06,130.1
1992-07,130.2
1992-08,130.2
1992-09,130.3
1992-10,130.4
1992-11,130.4
1992-12,130.7
1993-01,130.7
1993-02,130.8
1993-03,131.1
1993-04,131.1
1993-05,131.2
1993-06,131.3
1993-07,131.3
1993-08,131.3
1993-09,131.5
1993-10,131.5
1993-11,131.8
1993-12,131.9
1994-01,131.9
1994-02,132.0
1994-03,132.1
1994-04,132.2
1994-05,132.2
1994-06,133.1
1994-07,133.1
1994-08,133.2
1994-09,133.3
1994-10,133.6
1994-11,133.7
1994-12,133.8
1995-01,133.9
1995-02,134.8
1995-03,136.6
1995-04,137.3
1995-05,138.8
1995-06,139.6
1995-07,139.7
1995-08,140.3
1995-09,140.8
1995-10,141.2
1995-11,141.5
1995-12,141.8
1996-01,146.7
1996-02,146.9
1996-03,147.4
1996-04,147.4
1996-05,147.8
1996-06,147.9
1996-07,147.9
1996-08,147.9
1996-09,148.0
1996-10,148.2
1996-11,148.2
1996-12,148.7
1997-01,148.8
1997-02,148.9
1997-03,149.5
1997-04,154.1
1997-05,156.7
1997-06,157.1
1997-07,157.9
1997-08,158.0
1997-09,158.5
1997-10,159.3
1997-11,159.8
1997-12,160.7
1998-01,167.9
1998-02,168.4
1998-03,168.7
1998-04,169.2
1998-05,169.4
1998-06,169.9
1998-07,170.4
1998-08,171.4
1998-09,171.7
1998-10,172.1
1998-11,172.5
1998-12,173.3
1999-01,180.4
1999-02,180.9
1999-03,181.2
1999-04,181.4
1999-05,181.6
1999-06,181.8
1999-07,182.0
1999-08,182.2
1999-09,182.5
1999-10,182.9
1999-11,183.5
1999-12,184.0
2000-01,186.9
2000-02,189.3
2000-03,189.6
2000-04,191.1
2000-05,194.5
2000-06,195.7
2000-07,196.4
2000-08,196.6
2000-09,196.8
2000-10,197.2
2000-11,197.4
2000-12,198.0
2001-01,204.2
2001-02,204.8
2001-03,207.0
2001-04,208.7
2001-05,210.0
2001-06,211.7
2001-07,212.4
2001-08,213.9
2001-09,214.8
2001-10,215.2
2001-11,215.9
2001-12,217.0
2002-01,224.6
2002-02,224.8
2002-03,225.0
2002-04,225.4
2002-05,225.8
2002-06,226.3
2002-07,226.5
2002-08,226.7
2002-09,227.2
2002-10,227.9
2002-11,228.1
2002-12,228.7
2003-01,237.0
2003-02,237.5
2003-03,237.8
2003-04,238.0
2003-05,238.5
2003-06,239.0
2003-07,239.3
2003-08,239.6
2003-09,239.9
2003-10,240.4
2003-11,240.7
2003-12,241.0
2004-01,244.9
2004-02,245.4
2004-03,246.8
2004-04,247.5
2004-05,249.5
2004-06,251.1
2004-07,251.4
2004-08,252.0
2004-09,252.5
2004-10,253.2
2004-11,253.8
2004-12,255.5
2005-01,261.1
2005-02,261.9
2005-03,262.9
2005-04,264.2
2005-05,265.9
2005-06,267.0
2005-07,268.0
2005-08,268.9
2005-09,269.8
2005-10,270.6
2005-11,272.3
2005-12,273.9
2006-01,282.8
2006-02,284.4
2006-03,285.4
2006-04,286.4
2006-05,289.1
2006-06,290.4
2006-07,295.4
2006-08,297.4
2006-09,298.9
2006-10,300.4
2006-11,301.0
2006-12,300.8
2007-01,311.5
2007-02,312.3
2007-03,313.2
2007-04,314.6
2007-05,316.9
2007-06,319.0
2007-07,319.8
2007-08,321.1
2007-09,323.1
2007-10,324.6
2007-11,325.9
2007-12,326.6
2008-01,330.9
2008-02,333.5
2008-03,337.6
2008-04,340.5
2008-05,342.0
2008-06,346.2
2008-07,348.8
2008-08,350.4
2008-09,352.2
2008-10,353.3
2008-11,351.3
2008-12,353.6
2009-01,355.7
2009-02,355.7
2009-03,356.1
2009-04,355.4
2009-05,356.0
2009-06,356.7
2009-07,358.0
2009-08,358.1
2009-09,359.0
2009-10,360.1
2009-11,365.4
2009-12,366.5
2010-01,366.9
2010-02,368.6
2010-03,369.0
2010-04,369.5
2010-05,370.1
2010-06,378.3
2010-07,379.5
2010-08,379.5
2010-09,380.7
2010-10,381.8
2010-11,382.4
2010-12,383.1
2011-01,383.2
2011-02,383.9
2011-03,385.2
2011-04,385.6
2011-05,389.9
2011-06,405.0
2011-07,409.1
2011-08,409.7
2011-09,412.8
2011-10,415.7
2011-11,416.9
2011-12,418.2
2012-01,418.2
2012-02,427.1
2012-03,431.7
2012-04,431.4
2012-05,432.9
2012-06,433.1
2012-07,433.5
2012-08,433.7
2012-09,436.3
2012-10,436.8
2012-11,437.7
2012-12,437.7
2013-01,439.2
2013-02,449.4
2013-03,455.3
2013-04,456.4
2013-05,456.5
2013-06,457.8
2013-07,457.5
2013-08,458.6
2013-09,462.0
2013-10,463.1
2013-11,464.2
2013-12,463.8
2014-01,468.5
2014-02,470.5
2014-03,475.3
2014-04,478.4
2014-05,480.4
2014-06,482.7
2014-07,484.7
2014-08,487.4
2014-09,490.6
2014-10,493.8
2014-11,494.7
2014-12,494.6
2015-01,498.1
2015-02,500.8
2015-03,502.1
2015-04,503.2
2015-05,505.7
2015-06,517.1
2015-07,523.0
2015-08,524.7
2015-09,531.0
2015-10,532.9
2015-11,537.6
2015-12,542.7
2016-01,545.0
2016-02,564.0
2016-03,568.8
2016-04,570.4
2016-05,573.1
2016-06,581.6
2016-07,581.9
2016-08,583.4
2016-09,586.7
2016-10,588.3
2016-11,589.9
2016-12,592.2
2017-01,592.4
2017-02,595.1
2017-03,597.3
2017-04,598.4
2017-05,617.8
2017-06,623.8
2017-07,623.9
2017-08,625.2
2017-09,630.0
2017-10,630.7
2017-11,631.6
2017-12,632.8
2018-01,635.6
2018-02,638.1
2018-03,640.0
2018-04,641.9
2018-05,656.5
2018-06,660.9
2018-07,663.4
2018-08,662.8
2018-09,667.0
2018-10,669.6
2018-11,670.6
2018-12,670.7
2019-01,672.6
2019-02,674.0
2019-03,675.3
2019-04,685.4
2019-05,690.0
2019-06,689.3
2019-07,691.3
2019-08,691.5
2019-09,695.2
2019-10,697.6
2019-11,698.7
2019-12,700.7
2020-01,705.6
2020-02,706.6
2020-03,708.7
2020-04,732.1
2020-05,734.5
2020-06,735.7
2020-07,734.6
2020-08,736.1
2020-09,742.0
2020-10,747.1
2020-11,749.7
2020-12,751.2
2021-01,778.6
2021-02,781.2
2021-03,783.9
2021-04,786.2
2021-05,789.3
2021-06,792.7
2021-07,791.6
2021-08,793.9
2021-09,799.5
2021-10,803.8
2021-11,805.9
2021-12,806.0
2022-01,835.4
2022-02,838.0
2022-03,839.7
2022-04,853.0
2022-05,856.8
2022-06,856.7
2022-07,855.8
2022-08,857.5
2022-09,864.5
2022-10,867.4
2022-11,870.5
2022-12,905.6
2023-01,907.0
2023-02,910.8
2023-03,919.3
2023-04,933.9
2023-05,939.1
2023-06,949.7
2023-07,947.2
2023-08,950.0
2023-09,958.5
2023-10,962.1
2023-11,964.5
2023-12,966.3
2024-01,970.8
2024-02,972.4
2024-03,995.6
2024-04,1000.2
2024-05,1002.0
2024-06,1006.7
2024-07,1009.2
2024-08,1010.0
2024-09,1017.1
2024-10,1020.0
2024-11,1023.2
2024-12,1027.8
2025-01,1059.4
2025-02,1059.9
2025-03,1063.9
2025-04,1082.6
2025-05,1084.6
2025-06,1088.8
2025-07,1086.3
2025-08,1087.7
2025-09,1096.4
2025-10,1098.1
2025-11,1100.0
2025-12,1100.1
