month,year,month_num,wage_annual_pct,cpi_annual_pct
2000-01,2000,1,3.6,5.8
2000-02,2000,2,4.6,5.6
2000-03,2000,3,4.6,5.9
2000-04,2000,4,5.3,6.0
2000-05,2000,5,7.1,5.9
2000-06,2000,6,7.6,5.5
2000-07,2000,7,7.9,5.6
2000-08,2000,8,7.9,4.7
2000-09,2000,9,7.8,4.0
2000-10,2000,10,7.8,4.2
2000-11,2000,11,7.6,4.6
2000-12,2000,12,7.6,4.2
2001-01,2001,1,9.3,3.5
2001-02,2001,2,8.2,4.1
2001-03,2001,3,9.2,3.9
2001-04,2001,4,9.2,4.5
2001-05,2001,5,8.0,5.5
2001-06,2001,6,8.2,6.8
2001-07,2001,7,8.1,7.0
2001-08,2001,8,8.8,7.9
2001-09,2001,9,9.1,8.4
2001-10,2001,10,9.1,8.0
2001-11,2001,11,9.4,8.1
2001-12,2001,12,9.6,8.6
2002-01,2002,1,10.0,9.4
2002-02,2002,2,9.8,8.9
2002-03,2002,3,8.7,8.7
2002-04,2002,4,8.0,7.5
2002-05,2002,5,7.5,5.9
2002-06,2002,6,6.9,4.8
2002-07,2002,7,6.6,4.1
2002-08,2002,8,6.0,3.2
2002-09,2002,9,5.8,3.1
2002-10,2002,10,5.9,2.9
2002-11,2002,11,5.7,2.4
2002-12,2002,12,5.4,2.0
2003-01,2003,1,5.5,1.4
2003-02,2003,2,5.6,1.5
2003-03,2003,3,5.7,2.2
2003-04,2003,4,5.6,2.3
2003-05,2003,5,5.6,2.2
2003-06,2003,6,5.6,1.8
2003-07,2003,7,5.7,1.6
2003-08,2003,8,5.7,2.0
2003-09,2003,9,5.6,2.2
2003-10,2003,10,5.5,2.2
2003-11,2003,11,5.5,2.5
2003-12,2003,12,5.4,2.7
2004-01,2004,1,3.3,2.4
2004-02,2004,2,3.3,2.3
2004-03,2004,3,3.8,1.8
2004-04,2004,4,4.0,2.2
2004-05,2004,5,4.6,3.2
2004-06,2004,6,5.1,3.9
2004-07,2004,7,5.1,3.6
2004-08,2004,8,5.2,3.7
2004-09,2004,9,5.3,3.4
2004-10,2004,10,5.3,3.7
2004-11,2004,11,5.4,3.8
2004-12,2004,12,6.0,3.9
2005-01,2005,1,6.6,4.0
2005-02,2005,2,6.7,4.5
2005-03,2005,3,6.5,4.7
2005-04,2005,4,6.7,4.3
2005-05,2005,5,6.6,2.9
2005-06,2005,6,6.3,2.8
2005-07,2005,7,6.6,3.5
2005-08,2005,8,6.7,3.7
2005-09,2005,9,6.9,4.8
2005-10,2005,10,6.9,4.6
2005-11,2005,11,7.3,4.2
2005-12,2005,12,7.2,4.1
2006-01,2006,1,8.3,4.4
2006-02,2006,2,8.6,4.1
2006-03,2006,3,8.6,4.5
2006-04,2006,4,8.4,5.5
2006-05,2006,5,8.7,7.6
2006-06,2006,6,8.8,8.0
2006-07,2006,7,10.2,8.4
2006-08,2006,8,10.6,8.6
2006-09,2006,9,10.8,7.6
2006-10,2006,10,11.0,7.2
2006-11,2006,11,10.5,7.3
2006-12,2006,12,9.8,7.0
2007-01,2007,1,10.1,6.9
2007-02,2007,2,9.8,7.4
2007-03,2007,3,9.7,5.9
2007-04,2007,4,9.8,5.3
2007-05,2007,5,9.6,4.7
2007-06,2007,6,9.8,4.0
2007-07,2007,7,8.3,3.8
2007-08,2007,8,8.0,3.4
2007-09,2007,9,8.1,4.2
2007-10,2007,10,8.1,4.5
2007-11,2007,11,8.3,5.2
2007-12,2007,12,8.6,5.9
2008-01,2008,1,6.2,5.8
2008-02,2008,2,6.8,6.8
2008-03,2008,3,7.8,8.7
2008-04,2008,4,8.2,11.8
2008-05,2008,5,7.9,12.3
2008-06,2008,6,8.5,12.7
2008-07,2008,7,9.1,13.6
2008-08,2008,8,9.1,14.5
2008-09,2008,9,9.0,14.0
2008-10,2008,10,8.8,15.9
2008-11,2008,11,7.8,17.1
2008-12,2008,12,8.3,18.1
2009-01,2009,1,7.5,18.6
2009-02,2009,2,6.7,17.6
2009-03,2009,3,5.5,15.2
2009-04,2009,4,4.4,11.9
2009-05,2009,5,4.1,11.6
2009-06,2009,6,3.0,12.2
2009-07,2009,7,2.6,11.3
2009-08,2009,8,2.2,10.9
2009-09,2009,9,1.9,10.8
2009-10,2009,10,1.9,9.7
2009-11,2009,11,4.0,8.6
2009-12,2009,12,3.6,7.5
2010-01,2010,1,3.1,6.6
2010-02,2010,2,3.6,7.3
2010-03,2010,3,3.6,8.5
2010-04,2010,4,4.0,8.3
2010-05,2010,5,4.0,7.5
2010-06,2010,6,6.1,5.7
2010-07,2010,7,6.0,4.8
2010-08,2010,8,6.0,4.5
2010-09,2010,9,6.0,3.7
2010-10,2010,10,6.0,3.3
2010-11,2010,11,4.7,2.6
2010-12,2010,12,4.5,2.5
2011-01,2011,1,4.4,1.8
2011-02,2011,2,4.2,1.9
2011-03,2011,3,4.4,2.3
2011-04,2011,4,4.4,2.8
2011-05,2011,5,5.3,3.4
2011-06,2011,6,7.1,4.2
2011-07,2011,7,7.8,5.0
2011-08,2011,8,8.0,5.0
2011-09,2011,9,8.4,5.7
2011-10,2011,10,8.9,5.3
2011-11,2011,11,9.0,5.2
2011-12,2011,12,9.2,5.3
2012-01,2012,1,9.1,6.5
2012-02,2012,2,11.3,6.3
2012-03,2012,3,12.1,6.4
2012-04,2012,4,11.9,6.4
2012-05,2012,5,11.0,5.4
2012-06,2012,6,6.9,5.4
2012-07,2012,7,6.0,4.6
2012-08,2012,8,5.9,4.1
2012-09,2012,9,5.7,4.3
2012-10,2012,10,5.1,4.2
2012-11,2012,11,5.0,4.5
2012-12,2012,12,4.7,4.2
2013-01,2013,1,5.0,4.2
2013-02,2013,2,5.2,4.8
2013-03,2013,3,5.5,3.9
2013-04,2013,4,5.8,3.3
2013-05,2013,5,5.5,3.3
2013-06,2013,6,5.7,3.3
2013-07,2013,7,5.5,3.8
2013-08,2013,8,5.7,4.3
2013-09,2013,9,5.9,3.9
2013-10,2013,10,6.0,3.6
2013-11,2013,11,6.1,3.7
2013-12,2013,12,6.0,4.2
2014-01,2014,1,6.7,3.1
2014-02,2014,2,4.7,2.1
2014-03,2014,3,4.4,2.2
2014-04,2014,4,4.8,2.3
2014-05,2014,5,5.2,2.4
2014-06,2014,6,5.4,2.2
2014-07,2014,7,5.9,2.4
2014-08,2014,8,6.3,2.2
2014-09,2014,9,6.2,1.8
2014-10,2014,10,6.6,1.9
2014-11,2014,11,6.6,1.0
2014-12,2014,12,6.6,0.8
2015-01,2015,1,6.3,0.8
2015-02,2015,2,6.4,0.8
2015-03,2015,3,5.6,1.6
2015-04,2015,4,5.2,1.4
2015-05,2015,5,5.3,1.6
2015-06,2015,6,7.1,1.5
2015-07,2015,7,7.9,1.9
2015-08,2015,8,7.7,2.2
2015-09,2015,9,8.2,1.9
2015-10,2015,10,7.9,1.8
2015-11,2015,11,8.7,2.0
2015-12,2015,12,9.7,2.0
2016-01,2016,1,9.4,2.1
2016-02,2016,2,12.6,2.2
2016-03,2016,3,13.3,1.5
2016-04,2016,4,13.4,1.6
2016-05,2016,5,13.3,1.7
2016-06,2016,6,12.5,1.6
2016-07,2016,7,11.3,1.1
2016-08,2016,8,11.2,0.9
2016-09,2016,9,10.5,1.8
2016-10,2016,10,10.4,1.8
2016-11,2016,11,9.7,2.1
2016-12,2016,12,9.1,1.9
2017-01,2017,1,8.7,1.9
2017-02,2017,2,5.5,1.9
2017-03,2017,3,5.0,1.6
2017-04,2017,4,4.9,1.9
2017-05,2017,5,7.8,1.7
2017-06,2017,6,7.3,1.5
2017-07,2017,7,7.2,1.8
2017-08,2017,8,7.2,1.7
2017-09,2017,9,7.4,1.4
2017-10,2017,10,7.2,1.9
2017-11,2017,11,7.1,1.7
2017-12,2017,12,6.9,1.9
2018-01,2018,1,7.3,2.4
2018-02,2018,2,7.2,2.3
2018-03,2018,3,7.1,2.8
2018-04,2018,4,7.3,2.3
2018-05,2018,5,6.3,2.0
2018-06,2018,6,5.9,2.6
2018-07,2018,7,6.3,2.7
2018-08,2018,8,6.0,2.6
2018-09,2018,9,5.9,2.7
2018-10,2018,10,6.2,2.8
2018-11,2018,11,6.2,3.3
2018-12,2018,12,6.0,3.7
2019-01,2019,1,5.8,3.4
2019-02,2019,2,5.6,3.0
2019-03,2019,3,5.5,2.9
2019-04,2019,4,6.8,3.3
2019-05,2019,5,5.1,3.6
2019-06,2019,6,4.3,3.3
2019-07,2019,7,4.2,3.1
2019-08,2019,8,4.3,3.2
2019-09,2019,9,4.2,3.0
2019-10,2019,10,4.2,2.8
2019-11,2019,11,4.2,2.7
2019-12,2019,12,4.5,2.0
2020-01,2020,1,4.9,1.7
2020-02,2020,2,4.8,2.4
2020-03,2020,3,4.9,2.1
2020-04,2020,4,6.8,2.2
2020-05,2020,5,6.4,2.6
2020-06,2020,6,6.7,2.6
2020-07,2020,7,6.3,3.0
2020-08,2020,8,6.4,3.2
2020-09,2020,9,6.7,3.5
2020-10,2020,10,7.1,3.6
2020-11,2020,11,7.3,3.5
2020-12,2020,12,7.2,3.6
2021-01,2021,1,10.3,4.3
2021-02,2021,2,10.6,4.1
2021-03,2021,3,10.6,4.3
2021-04,2021,4,7.4,4.6
2021-05,2021,5,7.5,4.4
2021-06,2021,6,7.7,4.3
2021-07,2021,7,7.8,4.3
2021-08,2021,8,7.9,4.3
2021-09,2021,9,7.7,4.4
2021-10,2021,10,7.6,4.5
2021-11,2021,11,7.5,4.8
2021-12,2021,12,7.3,5.1
2022-01,2022,1,7.3,5.7
2022-02,2022,2,7.3,6.2
2022-03,2022,3,7.1,6.7
2022-04,2022,4,8.5,7.2
2022-05,2022,5,8.6,7.6
2022-06,2022,6,8.1,8.8
2022-07,2022,7,8.1,9.9
2022-08,2022,8,8.0,9.7
2022-09,2022,9,8.1,9.3
2022-10,2022,10,7.9,9.4
2022-11,2022,11,8.0,9.3
2022-12,2022,12,12.4,9.6
2023-01,2023,1,8.6,9.9
2023-02,2023,2,8.7,10.2
2023-03,2023,3,9.5,9.8
2023-04,2023,4,9.5,9.9
2023-05,2023,5,9.6,9.5
2023-06,2023,6,10.9,8.9
2023-07,2023,7,10.7,7.6
2023-08,2023,8,10.8,7.7
2023-09,2023,9,10.9,8.0
2023-10,2023,10,10.9,7.9
2023-11,2023,11,10.8,8.0
2023-12,2023,12,6.7,7.7
2024-01,2024,1,7.0,6.7
2024-02,2024,2,6.8,6.6
2024-03,2024,3,8.3,6.8
2024-04,2024,4,7.1,6.0
2024-05,2024,5,6.7,6.2
2024-06,2024,6,6.0,5.8
2024-07,2024,7,6.5,6.3
2024-08,2024,8,6.3,6.0
2024-09,2024,9,6.1,5.4
2024-10,2024,10,6.0,5.1
2024-11,2024,11,6.1,4.8
2024-12,2024,12,6.4,4.8
2025-01,2025,1,9.1,4.6
2025-02,2025,2,9.0,4.2
2025-03,2025,3,6.9,3.8
2025-04,2025,4,8.2,4.2
2025-05,2025,5,8.3,3.8
2025-06,2025,6,8.2,4.2
2025-07,2025,7,7.6,4.0
2025-08,2025,8,7.7,3.8
2025-09,2025,9,7.8,4.1
2025-10,2025,10,7.7,4.3
2025-11,2025,11,7.5,3.7
2025-12,2025,12,7.0,4.5
